Protocol,Length,0,Source,Destination,source port,Destination port,Count,Manual Label
TLSv1.2,97,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,1440,0
TLSv1.2,97,2020-06-05,89.18.105.60,130.240.134.20,8883,44117,1440,0
TLSv1.2,162,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,293,0
TLSv1.2,163,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,164,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,296,0
TLSv1.2,165,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,6,0
TLSv1.2,166,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,11,0
TLSv1.2,170,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,287,0
TLSv1.2,172,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,268,0
TLSv1.2,174,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,73,0
TLSv1.2,177,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,29,0
TLSv1.2,183,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,16,0
TLSv1.2,185,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,8,1
TLSv1.2,186,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,288,0
TLSv1.2,188,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,191,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,23152,0
TLSv1.2,192,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,46,0
TLSv1.2,193,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,268,1
TLSv1.2,204,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,24,0
TLSv1.2,205,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,14,0
TLSv1.2,206,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,212,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,239,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,8,0
TLSv1.2,240,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,49,0
TLSv1.2,259,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,263,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,280,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,7,0
TLSv1.2,282,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,26,0
TLSv1.2,283,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,12,0
TLSv1.2,285,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,4,0
TLSv1.2,390,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,391,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,3,0
TLSv1.2,393,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,1,0
TLSv1.2,501,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,1,0
TLSv1.2,967,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,11,0
TLSv1.2,969,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,971,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,15,0
TLSv1.2,973,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,324,0
TLSv1.2,97,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,1440,0
TLSv1.2,97,2020-06-02,89.18.105.60,130.240.134.20,8883,44117,1440,0
TLSv1.2,162,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,60,0
TLSv1.2,164,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,62,0
TLSv1.2,165,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,166,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,170,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,58,0
TLSv1.2,172,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,50,0
TLSv1.2,174,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,35,0
TLSv1.2,177,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,15,0
TLSv1.2,183,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,15,0
TLSv1.2,185,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,7,1
TLSv1.2,186,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,58,0
TLSv1.2,188,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,12,0
TLSv1.2,191,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,28746,0
TLSv1.2,192,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,13,0
TLSv1.2,193,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,204,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,30,0
TLSv1.2,205,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,13,0
TLSv1.2,206,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,5,0
TLSv1.2,212,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,7,0
TLSv1.2,239,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,4,0
TLSv1.2,240,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,48,0
TLSv1.2,280,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,4,0
TLSv1.2,282,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,12,0
TLSv1.2,283,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,5,0
TLSv1.2,285,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,390,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,1,0
TLSv1.2,391,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,1,0
TLSv1.2,967,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,6,0
TLSv1.2,969,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,5,0
TLSv1.2,971,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,6,0
TLSv1.2,973,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,131,0
TLSv1.2,975,2020-06-02,130.240.134.20,89.18.105.60,44117,8883,212,0
TLSv1.2,97,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,1440,0
TLSv1.2,97,2020-06-03,89.18.105.60,130.240.134.20,8883,44117,1440,0
TLSv1.2,162,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,67,0
TLSv1.2,164,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,71,0
TLSv1.2,165,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,6,0
TLSv1.2,166,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,13,0
TLSv1.2,170,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,68,0
TLSv1.2,172,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,57,0
TLSv1.2,174,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,52,0
TLSv1.2,177,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,19,0
TLSv1.2,183,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,16,0
TLSv1.2,185,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,6,1
TLSv1.2,186,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,68,0
TLSv1.2,188,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,10,0
TLSv1.2,191,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,27496,0
TLSv1.2,192,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,201,0
TLSv1.2,193,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,31,0
TLSv1.2,204,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,24,0
TLSv1.2,205,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,16,0
TLSv1.2,206,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,8,0
TLSv1.2,212,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,4,0
TLSv1.2,239,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,3,0
TLSv1.2,240,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,46,0
TLSv1.2,280,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,6,0
TLSv1.2,282,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,14,0
TLSv1.2,283,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,9,0
TLSv1.2,285,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,390,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,1,0
TLSv1.2,393,2020-06-03,130.240.134.20,89.18.105.60,44117,8883,1,0
